file,emotion,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,centroid,zcr,rolloff
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-01-01-01-01-01.wav,neutral,-726.2172241210938,68.54141998291016,3.2933976650238037,12.205300331115723,5.51027774810791,13.667409896850586,-2.98382830619812,3.098029136657715,-3.3108134269714355,-1.56438410282135,-7.861652374267578,-2.124281644821167,2.8492040634155273,-2.667806386947632,0.9590201377868652,1.6281663179397583,-2.7366890907287598,0.25424107909202576,2.675377130508423,-1.7611654996871948,-1.8864742517471313,-0.9756199717521667,-0.3794372081756592,0.4002728760242462,-3.044043779373169,-2.9012582302093506,-0.10924793034791946,-0.8635652661323547,-3.3332693576812744,-1.9784650802612305,0.45708155632019043,-1.3991097211837769,-2.9268555641174316,0.013956672511994839,-0.4907339811325073,-0.5709055662155151,0.040399219840765,-1.2072173357009888,-1.5949816703796387,-1.4364874362945557,0.6619439721107483,0.6534766554832458,0.6185917854309082,0.6136443018913269,0.628838837146759,0.6176267862319946,0.6302995681762695,0.6411735415458679,0.6439860463142395,0.6239454746246338,0.6338995099067688,0.6296719908714294,7416.297747905874,0.05047568044354839,13285.735887096775
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-01-01-01-02-01.wav,neutral,-719.1282958984375,70.20156860351562,1.1683969497680664,13.122541427612305,7.836949825286865,14.411290168762207,-4.111359596252441,4.468973159790039,-3.5393667221069336,-3.6586074829101562,-7.64850378036499,-1.4770774841308594,3.0318210124969482,-2.4618678092956543,0.5947343707084656,0.9784502983093262,-2.8361642360687256,0.07381553947925568,1.7593120336532593,-2.063185691833496,-2.3056280612945557,-0.6622538566589355,-0.9478811621665955,0.49746617674827576,-1.6925768852233887,-3.4717650413513184,-0.2692755162715912,-0.7767781019210815,-4.0910749435424805,-1.2800432443618774,0.2754600942134857,-2.521469831466675,-2.987672805786133,0.4097350537776947,-0.48418429493904114,-1.3983906507492065,0.2552034854888916,-0.984978437423706,-2.0930609703063965,-1.0407910346984863,0.6322878003120422,0.6571940183639526,0.6288534998893738,0.5925068259239197,0.623544454574585,0.6293038129806519,0.5982503294944763,0.6024273037910461,0.638104259967804,0.6501099467277527,0.663276731967926,0.6389562487602234,7135.571471113649,0.05290441543530351,13191.64337060703
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-01-01-02-01-01.wav,neutral,-714.9957275390625,69.68934631347656,3.9245641231536865,11.924189567565918,6.421723365783691,11.011613845825195,-2.878103017807007,4.509557723999023,-4.476109027862549,-2.6715493202209473,-7.499284267425537,-2.9622654914855957,1.8734848499298096,-2.912888765335083,0.5256919860839844,1.3727965354919434,-2.3648312091827393,-2.020495653152466,1.6025527715682983,-1.5617238283157349,-3.7207889556884766,-1.8949177265167236,0.3738066852092743,1.2185683250427246,-2.777102470397949,-2.725419044494629,-0.8127443194389343,-0.5070556998252869,-2.8577120304107666,-1.1507948637008667,-0.00211928179487586,-0.9091514348983765,-3.045955181121826,-0.3732941746711731,-0.8491451740264893,-0.9221047163009644,-0.1703197956085205,-1.1444225311279297,-1.7256125211715698,-1.4505605697631836,0.6585757732391357,0.6533428430557251,0.6369237303733826,0.6377144455909729,0.6266026496887207,0.5954110026359558,0.606913685798645,0.6114330887794495,0.6347721815109253,0.586807906627655,0.5789052248001099,0.6124113202095032,7239.2656482489965,0.04662688314332247,13279.1378257329
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-01-01-02-02-01.wav,neutral,-710.9752807617188,67.56488037109375,5.782240390777588,13.230727195739746,6.190845966339111,12.628252029418945,-1.6751693487167358,5.657493591308594,-4.950634002685547,-3.4775452613830566,-7.416557312011719,-1.9370039701461792,2.2715253829956055,-0.6112552881240845,0.1746320277452469,1.3954355716705322,-2.3914661407470703,-0.665337860584259,1.742957353591919,-0.49506834149360657,-3.0143747329711914,-0.9791335463523865,0.5346139073371887,0.26846280694007874,-2.365178108215332,-2.6703410148620605,-1.3975948095321655,-0.0439341738820076,-2.159041166305542,-1.5748215913772583,-0.40380609035491943,-1.329650640487671,-2.513404607772827,-0.19027607142925262,-0.6459488272666931,-0.5539186000823975,0.45929867029190063,-1.5800845623016357,-1.6476823091506958,-1.5095106363296509,0.6290956735610962,0.602729856967926,0.589719831943512,0.5667397975921631,0.6303304433822632,0.6468604207038879,0.619974672794342,0.6118846535682678,0.633944571018219,0.5979601740837097,0.6021102070808411,0.6199349761009216,7008.958169433834,0.05383546560402685,13272.074244966443
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-02-01-01-01-01.wav,calm,-759.9217529296875,75.78352355957031,6.0236053466796875,14.557394027709961,6.454188346862793,14.631507873535156,-3.0045509338378906,4.620970249176025,-5.200016021728516,-0.7074302434921265,-7.790287494659424,-3.564948797225952,2.1809704303741455,-1.8324066400527954,-0.3502733111381531,0.8292604088783264,-2.5235540866851807,-0.661252498626709,2.9179913997650146,-1.9391865730285645,-3.0332396030426025,-0.29330766201019287,-0.24490715563297272,-0.5406663417816162,-2.956831455230713,-2.10410475730896,-1.400206208229065,-0.9253891110420227,-3.7227931022644043,-1.9921644926071167,0.20646293461322784,-2.188581705093384,-2.835500478744507,0.4637458026409149,-1.0191673040390015,-1.411440372467041,0.35043320059776306,-1.519891619682312,-1.2501122951507568,-0.6138516068458557,0.5568814277648926,0.5957134962081909,0.6107087731361389,0.5900762677192688,0.6063618659973145,0.6200456619262695,0.5943292379379272,0.5965316295623779,0.6165105700492859,0.6383653879165649,0.6705918908119202,0.6028032302856445,6997.31180981541,0.04592932275978916,12649.543486445784
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-02-01-01-02-01.wav,calm,-735.006591796875,79.09304809570312,8.141051292419434,11.413549423217773,5.174123764038086,15.393282890319824,-2.7520718574523926,2.9645836353302,-5.38897180557251,-1.691832423210144,-5.852834701538086,-4.043287754058838,3.004640817642212,-1.0366162061691284,-0.06775642931461334,0.08821329474449158,-2.2095820903778076,-1.4559770822525024,2.568230390548706,-1.596312403678894,-2.6786844730377197,-1.410875916481018,0.11890596151351929,-0.12726348638534546,-2.847903251647949,-1.7715892791748047,-1.886290431022644,-0.7911622524261475,-3.2154910564422607,-2.1809144020080566,0.24123263359069824,-2.2474451065063477,-2.220097780227661,-0.24941182136535645,-0.9758897423744202,-0.9558535218238831,-0.25904396176338196,-2.1528797149658203,-1.973075032234192,-1.6481355428695679,0.605541467666626,0.6001200079917908,0.6158921718597412,0.6468392610549927,0.6694970726966858,0.6534722447395325,0.6718838810920715,0.6592276096343994,0.6611921191215515,0.6497308611869812,0.6541785001754761,0.6409562826156616,6874.560406643111,0.03303843842455621,12202.82451923077
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-02-01-02-01-01.wav,calm,-733.52490234375,81.58985900878906,4.8633575439453125,14.423686981201172,5.267688751220703,13.968560218811035,-3.0856165885925293,7.173246383666992,-4.821438312530518,-0.9674485921859741,-6.250473499298096,-3.8666398525238037,3.325518846511841,-1.6680715084075928,1.9813907146453857,0.965025007724762,-2.970167398452759,0.9250961542129517,2.6618711948394775,-2.686702013015747,-4.089702606201172,-1.1427792310714722,-0.04147617146372795,0.6396041512489319,-4.437098026275635,-1.9786649942398071,-1.6683790683746338,-0.12961585819721222,-2.6481974124908447,-1.7407793998718262,-0.24314987659454346,-1.4994990825653076,-3.442182779312134,1.0794883966445923,-1.8406904935836792,-1.1412956714630127,-0.5468920469284058,-1.8944058418273926,-1.6738300323486328,-0.9768346548080444,0.607397735118866,0.6206045150756836,0.6402098536491394,0.6402174830436707,0.6329777240753174,0.6305131316184998,0.620893657207489,0.6088844537734985,0.6202651858329773,0.6091498732566833,0.6396042704582214,0.6172811388969421,6853.974883221673,0.045950382313829786,12272.273936170213
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-02-01-02-02-01.wav,calm,-728.3629760742188,82.32493591308594,7.500576496124268,12.542464256286621,6.788125038146973,14.805659294128418,-2.9095802307128906,6.937838554382324,-4.844339847564697,-1.8469234704971313,-5.687710285186768,-3.6666533946990967,2.2403512001037598,-1.4234434366226196,1.2192734479904175,1.125489592552185,-2.724320411682129,0.4126955270767212,2.779965877532959,-1.6963865756988525,-3.658893346786499,-0.6342616081237793,-0.3705352246761322,0.9723827242851257,-4.102185249328613,-2.825218915939331,-1.575526475906372,-0.5603830814361572,-1.8017431497573853,-1.6020300388336182,-0.6359764337539673,-0.9145215749740601,-2.7520132064819336,0.36075663566589355,-1.9869834184646606,-1.1664824485778809,-0.4268781840801239,-2.169825553894043,-1.7610771656036377,-0.4071929454803467,0.5774680376052856,0.5914972424507141,0.5926296710968018,0.5849153399467468,0.5955063700675964,0.6067952513694763,0.6169638633728027,0.6304001808166504,0.65943443775177,0.6362215876579285,0.6472516655921936,0.6064738035202026,6798.674100010185,0.04764336896088957,12309.504409509202
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-02-02-01-01-01.wav,calm,-771.625244140625,83.32755279541016,9.759607315063477,14.268046379089355,6.201725959777832,16.020977020263672,-2.846898317337036,4.470250129699707,-5.536262035369873,0.87879478931427,-5.348248481750488,-3.0295560359954834,2.340573310852051,0.6652834415435791,1.3866219520568848,-0.02284266985952854,-2.428593158721924,0.24819551408290863,2.279019832611084,-1.0718265771865845,-0.17045924067497253,-2.293886184692383,0.008647436276078224,2.594590187072754,-3.904055595397949,-2.880471706390381,-0.22999471426010132,-0.6346879601478577,-3.327100992202759,-1.5811127424240112,0.17730486392974854,-1.4821044206619263,-1.4364228248596191,0.6987756490707397,-1.6221271753311157,-0.7385669350624084,-0.6342775821685791,-1.899428129196167,-2.530648708343506,-2.0102646350860596,0.5927866697311401,0.6346522569656372,0.6349816918373108,0.6419932246208191,0.6791036128997803,0.7002106308937073,0.7074196338653564,0.6710330843925476,0.6184625029563904,0.5963579416275024,0.6481669545173645,0.6251482963562012,6773.71236908055,0.03624225484913793,12030.037715517241
D:\speech_emotion\speech-emotion-classification\data\Actor_01\03-01-02-02-01-02-01.wav,calm,-733.9896240234375,82.99156951904297,3.796793222427368,13.411559104919434,3.1084961891174316,16.039552688598633,-5.652945041656494,5.560671329498291,-7.840987205505371,-1.1772104501724243,-5.728786468505859,-4.109694004058838,3.8823819160461426,-1.043491005897522,1.0040574073791504,-1.427609920501709,-2.6036157608032227,-0.43864208459854126,1.845233678817749,-2.6793856620788574,-1.4740660190582275,-1.8256139755249023,-0.2542687952518463,1.7353025674819946,-4.23899507522583,-2.147648811340332,-0.5318236947059631,-0.10767622292041779,-3.4672796726226807,-1.6796225309371948,-0.3943631947040558,-2.195223569869995,-2.3580539226531982,-0.2694984972476959,-0.9107759594917297,-0.9710870385169983,-1.1833144426345825,-2.272465705871582,-2.150444746017456,-2.137333393096924,0.5882435441017151,0.5803618431091309,0.583778977394104,0.6103137135505676,0.6208350658416748,0.6410722732543945,0.6375304460525513,0.6368476152420044,0.6010459661483765,0.57123863697052,0.5941546559333801,0.5983284711837769,6517.976565172378,0.04488291638962766,11717.44099069149
